ID,marital,education,job,default
4566,married,university.degree,technician,no
4567,divorced,,technician,no
4568,married,professional.course,services,no
4569,single,high.school,admin.,no
4570,married,basic.6y,technician,no
4571,married,university.degree,technician,
4572,married,basic.9y,blue-collar,no
4573,single,high.school,services,no
4574,married,basic.4y,blue-collar,
4575,married,university.degree,admin.,no
4576,married,professional.course,technician,no
4577,married,basic.9y,blue-collar,no
4578,single,professional.course,admin.,no
4579,married,basic.4y,blue-collar,
4580,married,basic.9y,blue-collar,no
4581,single,university.degree,admin.,no
4582,single,professional.course,technician,no
4583,married,high.school,services,no
4584,married,basic.9y,blue-collar,no
4585,single,high.school,admin.,no
4586,married,high.school,services,
4587,married,,admin.,
4588,married,basic.4y,blue-collar,no
4589,married,basic.9y,housemaid,no
4590,single,high.school,admin.,no
4591,married,professional.course,technician,
4592,married,basic.9y,housemaid,no
4593,married,basic.4y,housemaid,no
4594,divorced,basic.4y,services,
4595,married,university.degree,admin.,no
4596,married,high.school,services,
4597,married,basic.6y,blue-collar,
4598,single,university.degree,technician,no
4599,married,basic.4y,blue-collar,
4600,married,basic.4y,blue-collar,
4601,married,basic.9y,management,no
4602,divorced,high.school,admin.,no
4603,divorced,basic.4y,blue-collar,no
4604,single,high.school,admin.,no
4605,divorced,basic.4y,technician,no
4606,married,university.degree,admin.,no
4607,married,basic.4y,housemaid,no
4608,single,high.school,services,no
4609,married,high.school,admin.,no
4610,married,high.school,services,
4611,divorced,basic.4y,technician,no
4612,married,high.school,admin.,no
4613,single,high.school,technician,no
4614,married,professional.course,services,no
4615,married,university.degree,retired,no
4616,married,high.school,services,no
4617,married,basic.9y,blue-collar,
4618,divorced,university.degree,admin.,no
4619,single,high.school,services,no
4620,divorced,basic.4y,retired,no
4621,married,university.degree,admin.,no
4622,divorced,high.school,admin.,no
4623,married,high.school,technician,no
4624,divorced,high.school,admin.,no
4625,divorced,high.school,admin.,no
4626,married,basic.6y,blue-collar,
4627,married,university.degree,unemployed,no
4628,single,basic.9y,admin.,
4629,married,high.school,housemaid,
4630,married,basic.9y,technician,no
4631,married,university.degree,admin.,no
4632,married,basic.6y,blue-collar,no
4633,married,basic.9y,unemployed,no
4634,divorced,basic.6y,management,
4635,married,basic.4y,housemaid,
4636,married,basic.4y,housemaid,no
4637,single,university.degree,management,no
4638,divorced,basic.4y,blue-collar,no
4639,married,basic.6y,blue-collar,no
4640,married,university.degree,technician,no
4641,married,basic.6y,blue-collar,no
4642,married,professional.course,technician,no
4643,married,basic.9y,blue-collar,no
4644,married,university.degree,housemaid,no
4645,married,high.school,admin.,no
4646,married,high.school,services,no
4647,married,high.school,admin.,no
4648,married,basic.6y,blue-collar,
4649,married,basic.9y,blue-collar,
4650,married,basic.9y,blue-collar,no
4651,divorced,basic.9y,blue-collar,no
4652,single,university.degree,admin.,no
4653,married,high.school,blue-collar,
4654,married,basic.4y,self-employed,no
4655,married,high.school,admin.,no
4656,married,professional.course,technician,no
4657,single,high.school,admin.,
4658,married,university.degree,management,
4659,married,university.degree,self-employed,no
4660,married,university.degree,management,no
4661,married,basic.4y,self-employed,
4662,married,basic.4y,blue-collar,
4663,married,basic.4y,blue-collar,
4664,married,university.degree,admin.,no
4665,single,high.school,housemaid,
4666,married,high.school,services,no
4667,single,university.degree,self-employed,
4668,married,basic.9y,blue-collar,
4669,married,basic.4y,blue-collar,
4670,single,high.school,admin.,no
4671,married,high.school,services,no
4672,single,professional.course,admin.,no
4673,married,university.degree,technician,no
4674,married,high.school,admin.,
4675,married,professional.course,services,no
4676,married,professional.course,technician,no
4677,married,professional.course,retired,
4678,divorced,high.school,services,no
4679,single,basic.4y,services,no
4680,married,basic.9y,blue-collar,no
4681,married,basic.9y,blue-collar,no
4682,married,basic.4y,entrepreneur,no
4683,married,university.degree,admin.,no
4684,married,professional.course,unemployed,no
4685,married,university.degree,technician,no
4686,single,university.degree,technician,no
4687,married,basic.9y,blue-collar,no
4688,married,basic.9y,entrepreneur,no
4689,married,basic.9y,housemaid,no
4690,married,,blue-collar,
4691,single,high.school,services,no
4692,married,professional.course,blue-collar,no
4693,single,university.degree,technician,no
4694,married,basic.9y,blue-collar,
4695,married,high.school,retired,
4696,married,basic.9y,services,no
4697,single,professional.course,technician,
4698,married,high.school,management,
4699,married,basic.4y,blue-collar,
4700,single,professional.course,technician,
4701,married,basic.9y,blue-collar,no
4702,married,university.degree,admin.,
4703,single,university.degree,admin.,
4704,married,basic.4y,blue-collar,no
4705,married,basic.9y,blue-collar,
4706,married,high.school,admin.,no
4707,married,basic.9y,blue-collar,no
4708,married,high.school,admin.,no
4709,married,university.degree,management,no
4710,married,high.school,services,no
4711,married,professional.course,admin.,
4712,single,university.degree,management,no
4713,divorced,professional.course,technician,no
4714,married,high.school,services,no
4715,married,high.school,services,no
4716,divorced,university.degree,admin.,no
4717,married,high.school,management,
4718,married,basic.9y,blue-collar,no
4719,married,university.degree,services,no
4720,married,basic.9y,technician,
4721,married,basic.4y,blue-collar,
4722,married,basic.9y,blue-collar,
4723,married,university.degree,self-employed,no
4724,married,university.degree,admin.,no
4725,married,basic.9y,management,no
4726,married,basic.9y,blue-collar,no
4727,married,basic.9y,blue-collar,
4728,married,basic.9y,self-employed,no
4729,married,basic.4y,blue-collar,no
4730,married,basic.9y,blue-collar,no
4731,single,university.degree,technician,no
4732,married,basic.6y,blue-collar,
4733,married,professional.course,retired,no
4734,married,university.degree,technician,no
4735,married,basic.4y,blue-collar,no
4736,single,basic.9y,entrepreneur,no
4737,single,university.degree,admin.,no
4738,married,basic.4y,blue-collar,
4739,married,basic.9y,blue-collar,
4740,married,university.degree,technician,no
4741,married,high.school,management,no
4742,divorced,high.school,services,
4743,married,high.school,retired,
4744,married,university.degree,management,no
4745,married,professional.course,blue-collar,no
4746,married,university.degree,management,no
4747,married,high.school,management,
4748,married,basic.4y,housemaid,
4749,married,professional.course,entrepreneur,no
4750,single,university.degree,student,
4751,married,basic.9y,blue-collar,no
4752,single,university.degree,technician,no
4753,single,basic.9y,admin.,no
4754,divorced,basic.9y,technician,no
4755,married,basic.6y,blue-collar,no
4756,married,professional.course,technician,no
4757,married,high.school,admin.,no
4758,married,basic.4y,retired,no
4759,single,basic.6y,blue-collar,no
4760,married,university.degree,management,no
4761,divorced,high.school,retired,
4762,single,high.school,services,no
4763,married,basic.9y,blue-collar,
4764,married,basic.4y,blue-collar,
4765,married,university.degree,admin.,no
4766,single,basic.4y,blue-collar,no
4767,divorced,high.school,retired,no
4768,single,university.degree,housemaid,no
4769,married,basic.6y,blue-collar,no
4770,divorced,professional.course,technician,
4771,married,basic.9y,blue-collar,no
4772,married,university.degree,management,no
4773,married,basic.4y,blue-collar,no
4774,married,university.degree,management,no
4775,married,basic.4y,entrepreneur,no
4776,married,basic.9y,blue-collar,no
4777,married,university.degree,management,no
4778,married,basic.6y,blue-collar,
4779,single,high.school,admin.,no
4780,married,basic.4y,blue-collar,
4781,married,basic.9y,admin.,no
4782,married,high.school,entrepreneur,
4783,single,professional.course,blue-collar,no
4784,single,basic.4y,blue-collar,no
4785,married,basic.4y,blue-collar,no
4786,married,high.school,admin.,no
4787,married,basic.9y,blue-collar,no
4788,married,professional.course,technician,no
4789,married,high.school,services,
4790,married,basic.4y,blue-collar,
4791,married,high.school,retired,
4792,single,,admin.,
4793,single,professional.course,admin.,no
4794,divorced,basic.6y,blue-collar,no
4795,married,high.school,services,no
4796,married,university.degree,admin.,no
4797,married,high.school,services,no
4798,divorced,professional.course,admin.,no
4799,married,professional.course,blue-collar,no
4800,divorced,high.school,services,no
4801,married,high.school,admin.,no
4802,married,basic.4y,housemaid,no
4803,married,basic.4y,blue-collar,no
4804,married,high.school,technician,
4805,single,,blue-collar,
4806,married,university.degree,technician,
4807,single,high.school,admin.,no
4808,single,high.school,services,
4809,married,basic.9y,management,
4810,married,basic.9y,blue-collar,no
4811,married,high.school,admin.,no
4812,single,university.degree,admin.,no
4813,married,basic.9y,blue-collar,
4814,single,high.school,admin.,
4815,married,university.degree,management,
4816,married,basic.4y,blue-collar,no
4817,single,high.school,admin.,no
4818,single,basic.9y,,
4819,married,basic.9y,management,no
4820,married,high.school,services,no
4821,married,high.school,services,no
4822,married,high.school,housemaid,no
4823,divorced,professional.course,technician,no
4824,married,high.school,admin.,no
4825,married,basic.9y,blue-collar,
4826,divorced,basic.9y,blue-collar,no
4827,married,university.degree,self-employed,no
4828,single,professional.course,management,no
4829,divorced,professional.course,technician,no
4830,married,university.degree,admin.,no
4831,single,high.school,services,no
4832,married,professional.course,technician,no
4833,married,high.school,admin.,no
4834,married,high.school,housemaid,no
4835,single,basic.4y,unemployed,
4836,single,high.school,services,no
4837,married,professional.course,technician,no
4838,married,high.school,admin.,no
4839,married,basic.9y,management,no
4840,divorced,basic.9y,blue-collar,no
4841,married,basic.9y,blue-collar,
4842,married,basic.9y,blue-collar,no
4843,divorced,basic.4y,retired,no
4844,married,university.degree,technician,no
4845,married,basic.9y,blue-collar,no
4846,married,professional.course,entrepreneur,no
4847,married,high.school,blue-collar,no
4848,married,basic.9y,blue-collar,
4849,married,high.school,,
4850,married,high.school,technician,no
4851,married,basic.4y,housemaid,no
4852,married,professional.course,technician,
4853,divorced,high.school,admin.,
4854,married,professional.course,technician,no
4855,married,high.school,blue-collar,no
4856,married,university.degree,admin.,no
4857,married,professional.course,technician,no
4858,married,university.degree,admin.,no
4859,single,basic.4y,blue-collar,no
4860,married,professional.course,blue-collar,no
4861,married,university.degree,admin.,no
4862,divorced,university.degree,admin.,no
4863,single,basic.4y,blue-collar,no
4864,married,high.school,blue-collar,no
4865,married,basic.9y,blue-collar,
4866,divorced,high.school,services,no
4867,married,basic.9y,blue-collar,no
4868,married,professional.course,technician,no
4869,married,university.degree,technician,
4870,married,basic.9y,blue-collar,
4871,single,high.school,blue-collar,no
4872,single,university.degree,technician,
4873,divorced,basic.6y,services,no
4874,married,high.school,admin.,no
4875,married,university.degree,management,no
4876,single,university.degree,technician,no
4877,married,high.school,unemployed,no
4878,married,professional.course,technician,no
4879,single,basic.6y,,
4880,single,basic.4y,blue-collar,no
4881,married,high.school,technician,no
4882,married,university.degree,self-employed,no
4883,married,basic.4y,retired,
4884,single,university.degree,technician,no
4885,single,basic.9y,admin.,
4886,married,professional.course,blue-collar,no
4887,divorced,basic.9y,blue-collar,no
4888,married,university.degree,admin.,no
4889,divorced,university.degree,admin.,no
4890,married,basic.4y,entrepreneur,
4891,divorced,professional.course,technician,no
4892,divorced,high.school,unemployed,
4893,married,basic.9y,blue-collar,
4894,single,university.degree,management,no
4895,married,high.school,admin.,no
4896,married,basic.6y,blue-collar,
4897,married,basic.9y,management,no
4898,divorced,basic.9y,blue-collar,
4899,divorced,university.degree,admin.,no
4900,married,basic.9y,technician,no
4901,divorced,basic.9y,blue-collar,no
4902,married,university.degree,entrepreneur,no
4903,single,basic.6y,blue-collar,no
4904,single,high.school,admin.,no
4905,divorced,basic.6y,housemaid,no
4906,married,high.school,technician,
4907,married,professional.course,retired,
4908,married,basic.9y,admin.,no
4909,married,professional.course,technician,no
4910,married,professional.course,technician,
4911,single,basic.9y,admin.,
4912,divorced,university.degree,technician,
4913,married,university.degree,management,no
4914,married,high.school,self-employed,no
4915,married,university.degree,technician,
4916,married,basic.9y,blue-collar,
4917,divorced,high.school,services,no
4918,single,professional.course,technician,
4919,divorced,basic.9y,blue-collar,no
4920,married,high.school,services,no
4921,married,university.degree,admin.,
4922,married,professional.course,technician,no
4923,married,high.school,admin.,no
4924,divorced,high.school,services,no
4925,divorced,high.school,services,no
4926,married,basic.4y,blue-collar,
4927,divorced,basic.9y,blue-collar,no
4928,married,high.school,services,
4929,married,university.degree,management,no
4930,married,high.school,admin.,no
4931,single,university.degree,unemployed,no
4932,married,university.degree,self-employed,no
4933,married,high.school,services,
4934,married,basic.9y,blue-collar,
4935,single,university.degree,admin.,
4936,married,high.school,technician,no
4937,single,basic.6y,services,
4938,married,university.degree,admin.,
4939,divorced,basic.4y,blue-collar,no
4940,married,basic.9y,blue-collar,no
4941,single,university.degree,admin.,no
4942,married,high.school,admin.,no
4943,married,basic.6y,blue-collar,
4944,married,high.school,technician,no
4945,single,high.school,admin.,no
4946,single,high.school,admin.,no
4947,single,high.school,blue-collar,
4948,married,high.school,admin.,no
4949,married,professional.course,technician,no
4950,married,basic.6y,blue-collar,
4951,single,university.degree,admin.,no
4952,married,university.degree,self-employed,no
4953,single,university.degree,self-employed,no
4954,single,university.degree,services,no
4955,single,basic.9y,blue-collar,
4956,married,high.school,services,no
4957,married,high.school,services,
4958,married,university.degree,management,no
4959,married,high.school,blue-collar,no
4960,divorced,university.degree,unemployed,no
4961,married,basic.6y,blue-collar,no
4962,married,university.degree,self-employed,no
4963,married,basic.4y,self-employed,
4964,single,professional.course,services,
4965,married,high.school,admin.,no
4966,married,university.degree,admin.,
4967,married,professional.course,technician,no
4968,married,basic.6y,technician,
4969,married,basic.9y,blue-collar,no
4970,divorced,basic.9y,blue-collar,
4971,single,basic.4y,blue-collar,no
4972,divorced,university.degree,management,no
4973,married,basic.9y,self-employed,no
4974,married,basic.9y,blue-collar,no
4975,married,high.school,admin.,no
4976,single,university.degree,admin.,no
4977,married,basic.9y,blue-collar,no
4978,divorced,basic.6y,services,no
4979,married,high.school,services,
4980,married,basic.9y,services,no
4981,divorced,high.school,services,no
4982,divorced,,blue-collar,no
4983,married,high.school,blue-collar,
4984,married,high.school,services,
4985,divorced,high.school,services,
4986,married,university.degree,management,no
4987,single,basic.9y,blue-collar,
4988,married,basic.4y,blue-collar,
4989,married,basic.6y,entrepreneur,no
4990,single,university.degree,admin.,no
4991,single,high.school,admin.,no
4992,married,basic.4y,blue-collar,no
4993,divorced,,self-employed,no
4994,married,high.school,services,no
4995,single,high.school,services,no
4996,single,high.school,housemaid,no
4997,single,basic.9y,services,
4998,single,high.school,services,no
4999,married,professional.course,entrepreneur,no
5000,married,basic.6y,,no
5001,single,high.school,blue-collar,no
5002,married,university.degree,admin.,no
5003,married,basic.6y,blue-collar,
5004,married,high.school,blue-collar,
5005,single,university.degree,admin.,no
5006,married,high.school,admin.,no
5007,married,basic.9y,blue-collar,no
5008,married,professional.course,technician,no
5009,married,basic.6y,services,no
5010,married,university.degree,entrepreneur,
5011,divorced,high.school,admin.,no
5012,married,high.school,services,
5013,married,high.school,technician,no
5014,single,,admin.,
5015,divorced,high.school,blue-collar,no
5016,married,university.degree,admin.,no
5017,married,high.school,admin.,no
5018,married,basic.4y,self-employed,
5019,married,high.school,blue-collar,no
5020,married,professional.course,technician,no
5021,married,basic.6y,blue-collar,no
5022,married,basic.6y,entrepreneur,no
5023,married,basic.6y,blue-collar,no
5024,married,,blue-collar,
5025,divorced,university.degree,admin.,no
5026,single,basic.4y,blue-collar,
5027,married,high.school,services,no
5028,married,professional.course,technician,
5029,single,university.degree,admin.,no
5030,married,professional.course,technician,no
5031,married,basic.9y,blue-collar,
5032,single,professional.course,admin.,no
5033,married,professional.course,technician,no
5034,married,high.school,services,
5035,married,basic.4y,unemployed,
5036,married,basic.4y,blue-collar,no
5037,married,basic.4y,blue-collar,
5038,married,high.school,technician,no
5039,single,,admin.,no
5040,married,basic.4y,blue-collar,
5041,married,basic.4y,blue-collar,
5042,married,basic.4y,blue-collar,
5043,married,basic.9y,blue-collar,no
5044,married,high.school,services,
5045,single,high.school,blue-collar,
5046,married,basic.9y,blue-collar,no
5047,single,university.degree,technician,no
5048,single,,blue-collar,
5049,married,basic.6y,housemaid,
5050,married,university.degree,admin.,no
5051,married,basic.4y,blue-collar,
5052,single,professional.course,technician,no
5053,married,high.school,admin.,no
5054,married,university.degree,entrepreneur,no
5055,married,basic.6y,blue-collar,
5056,divorced,university.degree,admin.,no
5057,married,basic.6y,blue-collar,no
5058,married,high.school,admin.,no
5059,married,high.school,services,no
5060,divorced,professional.course,technician,no
5061,divorced,basic.6y,blue-collar,no
5062,divorced,basic.6y,blue-collar,no
5063,single,basic.9y,services,no
5064,married,basic.4y,management,no
5065,divorced,basic.6y,blue-collar,no
5066,married,,management,
5067,divorced,high.school,admin.,no
5068,single,high.school,services,no
5069,single,high.school,blue-collar,no
5070,married,university.degree,management,no
5071,single,university.degree,admin.,no
5072,married,basic.6y,blue-collar,
5073,married,high.school,services,no
5074,divorced,basic.4y,blue-collar,
5075,single,university.degree,admin.,
5076,single,professional.course,technician,no
5077,single,high.school,retired,no
5078,single,basic.9y,blue-collar,no
5079,divorced,high.school,admin.,no
5080,married,high.school,admin.,no
5081,single,basic.4y,blue-collar,
5082,married,basic.4y,blue-collar,
5083,married,university.degree,management,no
5084,married,professional.course,technician,no
5085,married,basic.9y,unemployed,
5086,married,basic.9y,admin.,no
5087,single,high.school,blue-collar,no
5088,married,basic.4y,housemaid,no
5089,married,high.school,admin.,no
5090,married,high.school,services,
5091,married,basic.9y,blue-collar,
5092,married,basic.4y,blue-collar,no
5093,married,professional.course,technician,
5094,divorced,basic.9y,admin.,no
5095,married,basic.9y,blue-collar,no
5096,married,professional.course,self-employed,no
5097,single,basic.9y,services,
5098,married,basic.9y,blue-collar,no
5099,married,basic.4y,blue-collar,
5100,married,basic.4y,blue-collar,no
5101,married,high.school,entrepreneur,no
5102,married,high.school,services,
5103,divorced,university.degree,technician,no
5104,married,basic.9y,blue-collar,no
5105,single,basic.9y,blue-collar,
5106,single,,services,no
5107,married,basic.6y,technician,
5108,single,basic.9y,technician,no
5109,married,university.degree,self-employed,no
5110,divorced,high.school,blue-collar,no
5111,married,high.school,admin.,no
5112,single,basic.6y,blue-collar,
5113,married,basic.4y,blue-collar,
5114,single,university.degree,admin.,no
5115,married,basic.4y,blue-collar,
5116,married,basic.4y,blue-collar,
5117,married,basic.4y,management,
5118,single,university.degree,admin.,no
5119,married,university.degree,admin.,no
5120,divorced,high.school,admin.,no
5121,married,high.school,services,no
5122,married,basic.6y,blue-collar,no
5123,single,basic.9y,blue-collar,no
5124,married,professional.course,technician,
5125,divorced,university.degree,management,no
5126,divorced,basic.9y,blue-collar,no
5127,married,professional.course,blue-collar,
5128,divorced,basic.4y,retired,
5129,married,high.school,technician,no
5130,divorced,basic.4y,blue-collar,no
5131,married,high.school,technician,no
5132,married,high.school,technician,no
5133,divorced,basic.4y,blue-collar,no
5134,single,university.degree,admin.,no
5135,single,basic.9y,services,no
5136,single,university.degree,technician,no
5137,married,high.school,blue-collar,
5138,married,,admin.,no
5139,single,university.degree,management,no
5140,married,university.degree,technician,no
5141,single,basic.9y,services,no
5142,married,university.degree,technician,no
5143,married,basic.9y,blue-collar,no
5144,married,university.degree,blue-collar,
5145,married,university.degree,unemployed,no
5146,married,basic.9y,blue-collar,no
5147,divorced,,admin.,no
5148,married,high.school,technician,no
5149,married,university.degree,admin.,no
5150,divorced,university.degree,management,no
5151,married,university.degree,entrepreneur,no
5152,married,high.school,admin.,no
5153,divorced,university.degree,management,no
5154,single,basic.9y,blue-collar,no
5155,divorced,university.degree,entrepreneur,no
5156,single,university.degree,services,no
5157,married,high.school,housemaid,
5158,married,basic.4y,blue-collar,
5159,divorced,basic.4y,blue-collar,no
5160,divorced,university.degree,entrepreneur,
5161,married,basic.9y,housemaid,no
5162,married,basic.6y,blue-collar,no
5163,married,professional.course,housemaid,no
5164,married,high.school,retired,
5165,married,basic.4y,blue-collar,no
5166,single,university.degree,technician,
5167,married,basic.9y,blue-collar,no
5168,married,,blue-collar,
5169,divorced,basic.9y,blue-collar,no
5170,married,high.school,self-employed,
5171,single,professional.course,technician,no
5172,divorced,professional.course,services,no
5173,married,professional.course,technician,no
5174,married,high.school,retired,no
5175,married,basic.4y,blue-collar,
5176,married,university.degree,management,no
5177,married,university.degree,admin.,no
5178,married,professional.course,technician,no
5179,divorced,basic.4y,blue-collar,no
5180,married,high.school,admin.,no
5181,married,high.school,services,no
5182,married,basic.6y,blue-collar,no
5183,married,university.degree,technician,no
5184,divorced,basic.6y,blue-collar,no
5185,single,high.school,services,
5186,married,high.school,entrepreneur,
5187,divorced,university.degree,unemployed,
5188,married,professional.course,technician,no
5189,married,university.degree,admin.,no
5190,single,high.school,technician,no
5191,divorced,high.school,admin.,no
5192,married,basic.9y,blue-collar,no
5193,married,professional.course,technician,no
5194,married,,admin.,no
5195,married,basic.4y,blue-collar,no
5196,married,university.degree,retired,no
5197,divorced,basic.6y,admin.,no
5198,married,basic.4y,management,
5199,divorced,university.degree,services,no
5200,married,university.degree,self-employed,
5201,single,high.school,services,
5202,married,basic.6y,blue-collar,
5203,single,,housemaid,
5204,married,basic.9y,unemployed,no
5205,married,high.school,entrepreneur,no
5206,single,basic.9y,services,
5207,married,basic.4y,blue-collar,no
5208,married,professional.course,blue-collar,no
5209,single,university.degree,technician,
5210,single,professional.course,services,no
5211,married,basic.9y,blue-collar,
5212,divorced,university.degree,admin.,no
5213,divorced,,blue-collar,
5214,divorced,high.school,admin.,no
5215,married,basic.9y,blue-collar,no
5216,divorced,university.degree,admin.,no
5217,married,basic.9y,blue-collar,no
5218,single,university.degree,technician,no
5219,married,high.school,admin.,no
5220,single,basic.9y,blue-collar,
5221,single,university.degree,admin.,no
5222,married,basic.4y,retired,no
5223,married,university.degree,management,no
5224,single,basic.9y,student,
5225,married,university.degree,management,no
5226,married,,services,
5227,single,university.degree,technician,
5228,married,basic.9y,unemployed,no
5229,married,basic.4y,blue-collar,
5230,married,basic.9y,blue-collar,no
5231,single,professional.course,technician,no
5232,divorced,university.degree,technician,no
5233,divorced,basic.9y,blue-collar,
5234,married,professional.course,admin.,no
5235,married,basic.6y,blue-collar,
5236,divorced,basic.6y,management,
5237,married,basic.9y,blue-collar,no
5238,married,basic.9y,entrepreneur,no
5239,married,basic.9y,blue-collar,no
5240,married,basic.9y,entrepreneur,
5241,married,,blue-collar,no
5242,single,professional.course,technician,no
5243,single,,blue-collar,no
5244,married,basic.9y,blue-collar,no
5245,married,university.degree,management,no
5246,married,university.degree,entrepreneur,no
5247,single,high.school,services,no
5248,divorced,university.degree,admin.,no
5249,married,basic.9y,services,no
5250,married,high.school,services,no
5251,married,basic.9y,blue-collar,
5252,married,high.school,admin.,
5253,married,university.degree,technician,no
5254,married,basic.6y,entrepreneur,
5255,married,basic.4y,housemaid,no
5256,married,basic.4y,blue-collar,no
5257,married,,management,
5258,married,high.school,services,no
5259,single,university.degree,services,no
5260,single,basic.6y,blue-collar,
5261,single,high.school,admin.,no
5262,single,basic.4y,blue-collar,
5263,married,university.degree,admin.,no
5264,married,university.degree,technician,no
5265,single,basic.9y,blue-collar,
5266,married,high.school,admin.,
5267,single,basic.9y,blue-collar,
5268,married,basic.6y,blue-collar,
5269,married,basic.9y,blue-collar,no
5270,married,university.degree,admin.,no
5271,married,basic.6y,entrepreneur,no
5272,married,high.school,admin.,no
5273,married,professional.course,technician,no
5274,married,university.degree,admin.,no
5275,single,high.school,admin.,no
5276,divorced,high.school,admin.,no
5277,married,university.degree,admin.,
5278,married,university.degree,management,no
5279,married,basic.9y,retired,no
5280,married,university.degree,management,no
5281,married,professional.course,technician,no
5282,married,university.degree,technician,no
5283,married,university.degree,management,no
5284,married,basic.9y,self-employed,no
5285,married,basic.6y,technician,
5286,single,university.degree,admin.,no
5287,married,university.degree,management,
5288,married,basic.6y,blue-collar,no
5289,divorced,professional.course,technician,no
5290,married,basic.6y,blue-collar,no
5291,married,basic.6y,blue-collar,
5292,single,basic.6y,services,no
5293,married,basic.4y,blue-collar,
5294,married,high.school,blue-collar,no
5295,married,university.degree,self-employed,no
5296,divorced,high.school,services,no
5297,married,university.degree,admin.,no
5298,divorced,basic.6y,blue-collar,no
5299,single,high.school,services,no
5300,married,basic.9y,blue-collar,no
5301,married,high.school,housemaid,no
5302,single,basic.4y,blue-collar,
5303,married,basic.4y,blue-collar,
5304,married,basic.9y,retired,no
5305,single,high.school,admin.,no
5306,married,basic.6y,blue-collar,
5307,divorced,university.degree,admin.,no
5308,married,basic.6y,admin.,no
5309,married,high.school,admin.,
5310,married,basic.6y,blue-collar,
5311,single,professional.course,services,no
5312,married,university.degree,management,no
5313,married,basic.4y,blue-collar,no
5314,married,professional.course,blue-collar,no
5315,married,university.degree,management,no
5316,married,basic.6y,blue-collar,no
5317,married,high.school,services,
5318,married,basic.6y,blue-collar,no
5319,married,high.school,admin.,no
5320,married,university.degree,technician,
5321,married,,blue-collar,no
5322,married,basic.9y,blue-collar,no
5323,married,professional.course,services,no
5324,single,professional.course,blue-collar,no
5325,divorced,basic.4y,blue-collar,
5326,married,basic.9y,technician,no
5327,divorced,university.degree,admin.,no
5328,married,professional.course,admin.,no
5329,married,high.school,technician,no
5330,single,university.degree,admin.,no
5331,married,basic.9y,blue-collar,no
5332,married,basic.9y,blue-collar,no
5333,married,basic.9y,blue-collar,no
5334,married,basic.6y,blue-collar,
5335,married,basic.9y,blue-collar,
5336,single,high.school,services,
5337,married,basic.9y,blue-collar,
5338,married,professional.course,technician,no
5339,single,high.school,blue-collar,no
5340,married,basic.6y,blue-collar,
5341,married,basic.6y,blue-collar,
5342,married,basic.9y,admin.,
5343,married,basic.4y,blue-collar,
5344,divorced,basic.4y,housemaid,
5345,divorced,basic.4y,blue-collar,no
5346,married,,technician,no
5347,single,university.degree,admin.,no
5348,married,university.degree,self-employed,no
5349,married,basic.6y,blue-collar,
5350,married,professional.course,technician,no
5351,single,high.school,admin.,no
5352,divorced,professional.course,technician,no
5353,married,university.degree,entrepreneur,no
5354,married,basic.6y,blue-collar,
5355,married,high.school,blue-collar,no
5356,married,,blue-collar,no
5357,divorced,university.degree,admin.,no
5358,married,basic.9y,blue-collar,
5359,married,high.school,housemaid,no
5360,married,basic.6y,blue-collar,
5361,married,basic.4y,blue-collar,
5362,married,basic.9y,blue-collar,no
5363,single,high.school,services,no
5364,single,high.school,admin.,no
5365,married,basic.9y,blue-collar,no
5366,married,university.degree,admin.,
5367,married,university.degree,entrepreneur,
5368,married,professional.course,admin.,
5369,divorced,university.degree,management,
5370,single,professional.course,technician,no
5371,married,basic.4y,blue-collar,no
5372,divorced,,services,no
5373,single,high.school,student,no
5374,married,university.degree,admin.,no
5375,married,,technician,
5376,single,university.degree,self-employed,no
5377,married,university.degree,management,no
5378,married,high.school,services,
5379,married,professional.course,services,no
5380,single,university.degree,admin.,no
5381,married,high.school,entrepreneur,no
5382,single,high.school,services,no
5383,married,university.degree,self-employed,no
5384,married,high.school,retired,
5385,single,university.degree,student,
5386,married,professional.course,technician,no
5387,married,high.school,management,no
5388,married,high.school,admin.,no
5389,divorced,university.degree,management,no
5390,single,high.school,blue-collar,no
5391,married,basic.4y,blue-collar,no
5392,single,university.degree,admin.,no
5393,married,illiterate,blue-collar,
5394,married,university.degree,management,no
5395,married,basic.4y,retired,
5396,married,,entrepreneur,
5397,divorced,basic.9y,blue-collar,no
5398,married,,management,no
5399,single,high.school,services,no
5400,single,,blue-collar,no
5401,single,basic.9y,blue-collar,no
5402,married,high.school,entrepreneur,no
5403,single,high.school,services,
5404,married,professional.course,blue-collar,no
5405,married,basic.9y,blue-collar,
5406,single,university.degree,admin.,no
5407,married,university.degree,admin.,no
5408,married,high.school,housemaid,
5409,married,high.school,services,no
5410,married,basic.4y,blue-collar,no
5411,married,university.degree,technician,
5412,married,basic.6y,housemaid,
5413,married,basic.4y,blue-collar,no
5414,single,,blue-collar,
5415,married,basic.4y,blue-collar,no
5416,married,high.school,services,
5417,married,basic.9y,blue-collar,
5418,married,professional.course,unemployed,no
5419,married,,management,no
5420,divorced,basic.4y,retired,no
5421,married,basic.9y,admin.,no
5422,married,basic.6y,blue-collar,no
5423,married,high.school,housemaid,no
5424,married,basic.6y,blue-collar,no
5425,divorced,professional.course,retired,no
5426,married,high.school,admin.,no
5427,single,basic.9y,blue-collar,no
5428,married,university.degree,admin.,no
